id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1703616,Rental unit in Vancouver · ★4.33 · 1 bedroom · 1 bed · 1.5 baths,8993938,James And Jewel,,Kitsilano,49.26548,-123.14579,Entire home/apt,160,30,3,2023-05-28,0.18,1,347,2,
1717967,Rental unit in Vancouver · ★4.92 · 2 bedrooms · 2 beds · 1 bath,9057463,Mary,,Riley Park,49.24778,-123.09867,Entire home/apt,171,2,346,2023-08-22,2.91,1,195,37,23-156482
1733307,Condo in Vancouver · ★4.87 · 1 bedroom · 3 beds · 1 bath,9131888,Cindy,,Downtown,49.27781,-123.10637,Entire home/apt,287,1,134,2023-08-30,5.51,1,145,62,23-157545
1736349,Townhouse in Vancouver · ★4.91 · 1 bedroom · 1 bed · 1 private bath,6120439,Kerry,,Kensington-Cedar Cottage,49.25349,-123.07603,Private room,139,2,104,2023-09-03,1.06,1,16,3,22-156442
1768817,Guest suite in Vancouver · ★4.90 · 1 bedroom · 1 bed · 1 bath,9041076,Lynn,,Riley Park,49.24489,-123.10302,Entire home/apt,93,30,71,2023-06-04,0.61,1,193,3,20-154624
1820919,Townhouse in Vancouver · ★4.94 · 3 bedrooms · 3 beds · 2.5 baths,7281178,Jodi,,Mount Pleasant,49.2585,-123.11479,Entire home/apt,396,2,83,2023-09-02,0.74,1,117,30,18-632419
1830733,Guest suite in Vancouver · ★4.90 · 1 bedroom · 1 bed · 1 bath,9575419,Elana & Claudio,,Downtown Eastside,49.27866,-123.08627,Entire home/apt,150,2,263,2023-04-27,2.21,4,134,17,23-156672
1850984,Rental unit in Vancouver · ★4.81 · 2 bedrooms · 2 beds · 1 bath,1007186,Bryn,,Strathcona,49.26772,-123.0975,Entire home/apt,315,4,36,2023-07-23,0.31,1,0,6,20-197406
1869071,Rental unit in Vancouver · ★4.75 · 1 bedroom · 1 bed · 1 bath,600607,Martello,,Downtown,49.28216,-123.12438,Entire home/apt,90,30,4,2022-01-05,0.04,34,0,0,
1898584,Condo in Vancouver · ★4.75 · Studio · 1 bed · 1 bath,9862171,John,,Downtown,49.27915,-123.10642,Entire home/apt,79,90,36,2022-12-07,0.30,1,239,1,
1932171,Home in Vancouver · ★4.64 · 1 bedroom · 1 bed · 1 bath,5026894,Lois,,Grandview-Woodland,49.26861,-123.06666,Entire home/apt,97,31,11,2018-08-28,0.13,1,0,0,
